pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
SEPSIS,121,7762,88871,17587786,3.08505447871861,0.0916766311942869,2.57766285772855,3.69232194510056,3.05304996369578,0.0902707219673265,2.5579610185479,3.64396252063068,167.668147593432,17684540,1.60893150592071,1.60814678167561,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HAEMOGLOBIN DECREASED,120,7763,79615,17597042,3.41661805082198,0.0920584965526275,2.85255913804433,4.09221276064609,3.37983076601942,0.0906586010842437,2.82959836444115,4.03705916376139,201.691172232749,17684540,1.75542137399591,1.75463664975081,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WHITE BLOOD CELL COUNT DECREASED,118,7765,91216,17585441,2.92969754687698,0.0928136796275274,2.44240785689699,3.51420738020455,2.90081205778254,0.091425529422599,2.4249155039511,3.47010466173597,147.546223190474,17684540,1.53523494987088,1.53445022562578,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NEUTROPHIL COUNT INCREASED,116,7767,8292,17668365,31.8230464820457,0.0941811778407748,26.4589811026923,38.274576162549,31.369478881904,0.092813662745024,26.1518682380151,37.628065282609,3365.10396799938,17684540,4.9518903391582,4.9511056149131,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VERTIGO,115,7768,49602,17627055,5.26101082069504,0.0940457476282836,4.37538061688436,6.3259033393944,5.19884968351631,0.0926763228736441,4.33530425546666,6.23440396316274,390.182844426379,17684540,2.37549472480147,2.37471000055637,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TREMOR,114,7769,126674,17549983,2.03296052342077,0.0943853684584307,1.6896101035932,2.4460841474598,2.01802236540098,0.0930210313554576,1.68168586843265,2.42162602641961,58.9152473647367,17684540,1.01228763135807,1.01150290711297,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NEUTROPENIA,107,7776,115600,17561057,2.09035642786072,0.0973812234405601,1.72714091854333,2.5299556906937,2.07555646112457,0.0960600493525861,1.71935908268211,2.50554678583825,59.9742335227118,17684540,1.05280666323169,1.05202193898659,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
LOWER RESPIRATORY TRACT INFECTION,105,7778,41073,17635584,5.79635239446011,0.0983706301550808,4.77991319885223,7.02893539757815,5.73246592973623,0.0970630959141006,4.73936008955081,6.93367142708525,410.13459866896,17684540,2.51611567559418,2.51533095134909,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
AGITATION,96,7787,52679,17623978,4.12446362865712,0.102781931603247,3.3719236447356,5.04495416160272,4.0864135831984,0.10153195424665,3.34901100723075,4.98618127467917,224.049725500925,17684540,2.02885174559208,2.02806702134698,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPHAGIA,96,7787,76160,17600497,2.8490433312146,0.102753456854179,2.32934354895862,3.4846933191831,2.82652548777979,0.101503128468212,2.31660344991494,3.4486896466299,113.657853241309,17684540,1.49785556252369,1.49707083827859,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WITHDRAWAL SYNDROME,93,7790,35752,17640905,5.89068785724278,0.104446565412261,4.80019962959959,7.22890840153706,5.83298977647104,0.103216988937387,4.76465149893618,7.14087268292598,372.200037896404,17684540,2.54113083735455,2.54034611310945,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
THERAPEUTIC RESPONSE UNEXPECTED,92,7791,40486,17636171,5.14391819536389,0.10498892819429,4.18721897572691,6.31920483595014,5.09555583662058,0.103765857986712,4.15780659164648,6.24480449289877,302.854375001084,17684540,2.34660811490574,2.34582339066064,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
APPLICATION SITE ERYTHEMA,91,7792,21380,17655277,9.64404622500255,0.105660669455098,7.8400549346728,11.863134680174,9.54426083790687,0.104445544873058,7.77743619926583,11.7124605857393,693.954696967588,17684540,3.24914917315361,3.24836444890851,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
BALANCE DISORDER,89,7794,70252,17606405,2.86181529367549,0.106670287087543,2.32189201925805,3.52729011822523,2.84079517936151,0.105466950730736,2.31028012238438,3.49313365634408,106.449112421348,17684540,1.50511150428466,1.50432678003956,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
GENERAL PHYSICAL HEALTH DETERIORATION,87,7796,96816,17579841,2.02635358638973,0.107855966623632,1.64023614183506,2.50336445609635,2.01502633001323,0.106666161058186,1.6348753887997,2.48357222725557,44.6878366433473,17684540,1.01014608386198,1.00936135961689,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NEUTROPHIL COUNT DECREASED,87,7796,34272,17642385,5.74467241199969,0.107943312907294,4.64924106739834,7.09820390958076,5.69230827400096,0.106754481787098,4.61760906912242,7.01713224337935,336.315940260511,17684540,2.50599936605887,2.50521464181377,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
APPLICATION SITE PRURITUS,86,7797,18819,17657838,10.3493220822709,0.108670860178527,8.3639109301674,12.8060268045485,10.247325164971,0.107490152726149,8.30066815919448,12.6505084919378,715.162225669199,17684540,3.3512408238203,3.35045609957521,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
LOSS OF CONSCIOUSNESS,85,7798,94059,17582598,2.03759743100897,0.109103768914491,1.64530865167951,2.52341910839419,2.02640933236178,0.10792787256891,1.64005010770728,2.50378617274287,44.3873067638415,17684540,1.01826570287567,1.01748097863058,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
FEBRILE NEUTROPENIA,83,7800,55126,17621531,3.40150134610036,0.110429139761848,2.73950101528799,4.22347403521812,3.37621597102407,0.109267658534652,2.72533385557849,4.18254602446806,139.035028150729,17684540,1.75387987994292,1.75309515569782,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DISORIENTATION,79,7804,27821,17648836,6.42174656091605,0.113235895350245,5.14357197974582,8.01754676614345,6.36741217320676,0.112103791591514,5.11138141489832,7.93209007360062,356.983595914765,17684540,2.66725954456599,2.6664748203209,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ALANINE AMINOTRANSFERASE INCREASED,75,7808,40603,17636054,4.17219651080656,0.116129636733554,3.32286894665989,5.23861277835948,4.14201577526038,0.115026302320016,3.30597361700052,5.18948324157276,178.840091608413,17684540,2.04831386044719,2.04752913620209,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CHEST DISCOMFORT,74,7809,82638,17594019,2.01753722108367,0.116849170691151,1.60456580828277,2.53679619585954,2.00798530501616,0.115752765211368,1.60040458638238,2.51936605247737,37.5860650811696,17684540,1.00510063079936,1.00431590655426,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
RESPIRATORY FAILURE,74,7809,55155,17621502,3.02757096413896,0.116874968896577,2.40773313502713,3.80697752983908,3.00853756932147,0.115778808104461,2.39774242747363,3.77492519726381,99.4059401866342,17684540,1.58777127848302,1.58698655423793,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PULMONARY EMBOLISM,72,7811,68487,17608170,2.36991046281937,0.118454934775318,1.87888873350174,2.98925396785639,2.35739827795029,0.117373669833372,1.87293401534957,2.96717695088994,56.4345056631395,17684540,1.23632285339853,1.23553812915343,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SALIVARY HYPERSECRETION,71,7812,7782,17668875,20.6354424879029,0.119754221228308,16.318375969788,26.0945995765705,20.4585914899781,0.118684863747834,16.21246811707,25.816794995767,1302.72858944147,17684540,4.34217523573423,4.34139051148913,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ELECTROCARDIOGRAM QT PROLONGED,70,7813,29803,17646854,5.30502610729266,0.120196990106477,4.19154161178782,6.71430814856035,5.26679804341971,0.119131675573186,4.17003534537273,6.65202074628705,241.808147672512,17684540,2.39418480762274,2.39340008337764,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
