drug,pt,a,ROR,ROR_lcl,ROR_ucl,signal,subgroup_var,subgroup_level
meclizine,BRADYCARDIA,14,8.20573235968123,4.83581686408329,13.9240267882816,TRUE,给药途径,Oral
meclizine,DYSURIA,14,11.4036093196782,6.72015863511008,19.3510767493544,TRUE,给药途径,Oral
meclizine,DRY EYE,13,6.97613708322808,4.03146655316785,12.0716587778085,TRUE,给药途径,Oral
meclizine,URINARY RETENTION,12,10.5475672839043,5.96241130959594,18.6587556328831,TRUE,给药途径,Oral
meclizine,RASH PRURITIC,10,5.22650766661368,2.80044032411434,9.75431690293581,TRUE,给药途径,Oral
meclizine,LETHARGY,9,4.78509498636077,2.47992520444426,9.2329937965311,TRUE,给药途径,Oral
meclizine,AGITATION,8,3.53109048305105,1.75933812736333,7.08709701993444,TRUE,给药途径,Oral
meclizine,ORTHOSTATIC HYPOTENSION,8,13.9609253032305,6.95485136205376,28.02467301973,TRUE,给药途径,Oral
meclizine,SYSTEMIC LUPUS ERYTHEMATOSUS,8,5.90962377771981,2.94432036105774,11.8613632049351,TRUE,给药途径,Oral
meclizine,DISORIENTATION,7,5.8455183098397,2.7769673796004,12.3048202012327,TRUE,给药途径,Oral
meclizine,VENTRICULAR TACHYCARDIA,7,14.1568502936066,6.72445912549678,29.8040937561327,TRUE,给药途径,Oral
meclizine,INJECTION SITE ERYTHEMA,6,1.43143145285923,0.641033903127007,3.19639256869185,FALSE,给药途径,Oral
meclizine,INJECTION SITE PRURITUS,6,2.55437148006683,1.14389499281313,5.70403201270477,TRUE,给药途径,Oral
meclizine,SINUS TACHYCARDIA,6,14.0190553018603,6.2767625982231,31.3113501556129,TRUE,给药途径,Oral
meclizine,DIZZINESS POSTURAL,5,14.1124289409811,5.85545362107381,34.0128474244012,TRUE,给药途径,Oral
meclizine,"HALLUCINATION, VISUAL",5,7.19583701251519,2.98604587953146,17.3406814227544,TRUE,给药途径,Oral
meclizine,RASH ERYTHEMATOUS,5,3.00360566284142,1.24649990577335,7.23758336127258,TRUE,给药途径,Oral
meclizine,RASH GENERALISED,5,6.70628384185321,2.78292229530395,16.1607972466186,TRUE,给药途径,Oral
meclizine,VERTIGO POSITIONAL,5,85.5379982585139,35.4434603484805,206.434390833603,TRUE,给药途径,Oral
meclizine,DELIRIUM,4,3.39055689240355,1.26915391952673,9.05790532082349,TRUE,给药途径,Oral
meclizine,"HALLUCINATION, AUDITORY",4,7.80109272176936,2.91983573187141,20.8426272030851,TRUE,给药途径,Oral
meclizine,SEDATION,4,4.46135582496285,1.66993798073912,11.9188233494279,TRUE,给药途径,Oral
meclizine,DERMATITIS CONTACT,3,7.26948144358052,2.3388888933641,22.5942158297876,TRUE,给药途径,Oral
meclizine,EYE PRURITUS,3,2.35586238260569,0.75806770727549,7.32136128806184,FALSE,给药途径,Oral
meclizine,GLAUCOMA,3,4.39856466262825,1.41529663801736,13.6701879815281,TRUE,给药途径,Oral
meclizine,MYDRIASIS,3,7.45494036702665,2.39854777645133,23.1707437398428,TRUE,给药途径,Oral
meclizine,PRURITUS GENERALISED,3,4.53756080147516,1.46001555543274,14.1022182609426,TRUE,给药途径,Oral
meclizine,SINUS HEADACHE,3,15.9094713160855,5.11765053179381,49.4584919358743,TRUE,给药途径,Oral
meclizine,STOMA SITE ERYTHEMA,3,37.7720594204075,12.1438009504418,117.48615434996,TRUE,给药途径,Oral
meclizine,TENSION HEADACHE,3,18.7214964018416,6.02179173781391,58.204342292882,TRUE,给药途径,Oral
meclizine,VULVOVAGINAL PRURITUS,3,15.8514857699267,5.09900532765798,49.2781601445391,TRUE,给药途径,Oral
meclizine,ATRIAL TACHYCARDIA,2,28.5049289156063,7.10985205681931,114.282402220232,FALSE,给药途径,Oral
meclizine,EXFOLIATIVE RASH,2,22.4771443063206,5.60737836336226,90.0995052283615,FALSE,给药途径,Oral
meclizine,INJECTION SITE RASH,2,1.79610894031332,0.448352428107625,7.19524892301697,FALSE,给药途径,Oral
meclizine,PHARYNGEAL ERYTHEMA,2,28.7168809613133,7.16267296712044,115.132891859192,FALSE,给药途径,Oral
meclizine,RASH MACULAR,2,1.57686820612278,0.393627191180312,6.31692473282888,FALSE,给药途径,Oral
meclizine,RASH PAPULAR,2,2.55861628266202,0.638678244665952,10.2501022018172,FALSE,给药途径,Oral
meclizine,SUPRAVENTRICULAR TACHYCARDIA,2,6.77120260843801,1.69000562026334,27.12960490473,FALSE,给药途径,Oral
meclizine,APPLICATION SITE ERYTHEMA,1,1.07676759486633,0.151470500725688,7.65448353177319,FALSE,给药途径,Oral
meclizine,CUTANEOUS LUPUS ERYTHEMATOSUS,1,18.1100387958935,2.5457311144059,128.832736235502,FALSE,给药途径,Oral
meclizine,EAR PRURITUS,1,7.3984041288949,1.04046620927492,52.6075553117614,FALSE,给药途径,Oral
meclizine,GENERALISED ERYTHEMA,1,6.76463741810285,0.951362650903273,48.0997644325746,FALSE,给药途径,Oral
meclizine,"HALLUCINATION, TACTILE",1,45.7423716449724,6.42250443727416,325.786394410778,FALSE,给药途径,Oral
meclizine,INFUSION SITE ERYTHEMA,1,2.98338514925348,0.41964337736195,21.2098830314896,FALSE,给药途径,Oral
meclizine,INFUSION SITE PRURITUS,1,7.84489528795812,1.10323715028311,55.7834569505158,FALSE,给药途径,Oral
meclizine,OPEN ANGLE GLAUCOMA,1,48.7277486910995,6.84080607140115,347.092647813742,FALSE,给药途径,Oral
meclizine,ORAL MUCOSAL ERYTHEMA,1,16.7835368978963,2.35939689698455,119.389455484602,FALSE,给药途径,Oral
meclizine,PRURITUS ALLERGIC,1,21.8348253976094,3.06884149053996,155.35491214315,FALSE,给药途径,Oral
meclizine,RASH PUSTULAR,1,4.35277355922455,0.612226273626976,30.9471162445216,FALSE,给药途径,Oral
meclizine,SINUS BRADYCARDIA,1,3.25919291043868,0.458433186551762,23.170963052114,FALSE,给药途径,Oral
meclizine,CONFUSIONAL STATE,3,27.9629818372921,8.09507853752275,96.5930533728968,TRUE,给药途径,Transdermal
meclizine,DIZZINESS,3,8.66969051792669,2.50983314838381,29.9476217074546,TRUE,给药途径,Transdermal
meclizine,HEADACHE,3,6.61157671945444,1.91402095967125,22.8382800597649,TRUE,给药途径,Transdermal
meclizine,HYPOTENSION,3,21.9143600292615,6.34406361318163,75.6989848737108,TRUE,给药途径,Transdermal
meclizine,RASH,3,9.36235407350532,2.71035504957857,32.3402920260616,TRUE,给药途径,Transdermal
meclizine,ORTHOSTATIC HYPOTENSION,2,165.06445224929,37.9488159474609,717.974269186156,FALSE,给药途径,Transdermal
meclizine,PRURITUS,2,6.6779114247378,1.53541573456844,29.0439260147206,FALSE,给药途径,Transdermal
meclizine,SOMNOLENCE,2,13.6326487904455,3.13446766378834,59.2920817753844,FALSE,给药途径,Transdermal
meclizine,VISION BLURRED,2,20.2554476098281,4.65718716836929,88.0967723739025,FALSE,给药途径,Transdermal
meclizine,AGITATION,1,19.6528905722292,2.61531086647741,147.682676195293,FALSE,给药途径,Transdermal
meclizine,DIZZINESS POSTURAL,1,126.125795587522,16.7825700305321,947.87129049036,FALSE,给药途径,Transdermal
meclizine,DRY MOUTH,1,15.8710112408132,2.11204411489162,119.263132824735,FALSE,给药途径,Transdermal
meclizine,DYSURIA,1,35.9689523242975,4.78650132228018,270.294614833881,FALSE,给药途径,Transdermal
meclizine,VENTRICULAR TACHYCARDIA,1,90.1324370913616,11.9936114178168,677.348626116076,FALSE,给药途径,Transdermal
meclizine,VERTIGO,1,20.8653457521073,2.77665540878538,156.79390823128,FALSE,给药途径,Transdermal
cinnarizine,DIZZINESS,86,16.2117246042375,12.6540881730876,20.7695735203267,TRUE,给药途径,Unknown/Missing
cinnarizine,HEADACHE,63,8.23264216492342,6.2471078675081,10.8492439146421,TRUE,给药途径,Unknown/Missing
cinnarizine,VERTIGO,30,37.2285830980258,25.5548773952895,54.2349461532571,TRUE,给药途径,Unknown/Missing
cinnarizine,LETHARGY,27,37.5686363904548,25.3208791727708,55.7406569735531,TRUE,给药途径,Unknown/Missing
cinnarizine,SOMNOLENCE,27,10.1905345550581,6.86887091081078,15.1184955819144,TRUE,给药途径,Unknown/Missing
cinnarizine,TACHYCARDIA,25,22.1577348316334,14.7261665291814,33.3396482985632,TRUE,给药途径,Unknown/Missing
cinnarizine,MEDICATION OVERUSE HEADACHE,24,1772.47617774808,1162.51552018444,2702.47729697923,TRUE,给药途径,Unknown/Missing
cinnarizine,VISION BLURRED,18,9.78915428716346,6.08309386796096,15.7530927087292,TRUE,给药途径,Unknown/Missing
cinnarizine,PRURITUS,17,3.037535362369,1.86327791683884,4.95182226669422,TRUE,给药途径,Unknown/Missing
cinnarizine,CONFUSIONAL STATE,16,7.45744607429351,4.50994713879685,12.3312979596989,TRUE,给药途径,Unknown/Missing
cinnarizine,RASH,12,1.84784716096496,1.03784839171686,3.29001726797279,TRUE,给药途径,Unknown/Missing
cinnarizine,DISORIENTATION,10,20.6885758008235,11.0189838106381,38.843615348014,TRUE,给药途径,Unknown/Missing
cinnarizine,DRY MOUTH,9,7.91049596257327,4.07677091432057,15.349389918888,TRUE,给药途径,Unknown/Missing
cinnarizine,ERYTHEMA,9,2.93580142751056,1.51304326685555,5.69642006317845,TRUE,给药途径,Unknown/Missing
cinnarizine,BRADYCARDIA,8,11.4317947761037,5.66566106504554,23.066316587348,TRUE,给药途径,Unknown/Missing
cinnarizine,HYPOTENSION,8,2.84606217382647,1.41059638655812,5.74230160694668,TRUE,给药途径,Unknown/Missing
cinnarizine,HALLUCINATION,7,6.77224245310495,3.20154722962011,14.3253447643435,TRUE,给药途径,Unknown/Missing
cinnarizine,"HALLUCINATION, AUDITORY",7,33.6310331628215,15.8961877258163,71.1520530021114,TRUE,给药途径,Unknown/Missing
cinnarizine,AGITATION,6,6.46694020621834,2.88286559881422,14.5068558340025,TRUE,给药途径,Unknown/Missing
