pt,faers_a,faers_ror,faers_lcl,faers_signal,faers_trio,canada_a,canada_n_pt_all,canada_ror,canada_lcl,verdict
APPLICATION SITE SCAB,10,11.4073938251449,6.12568083152346,TRUE,TRUE,0,,,,insufficient (a=0)
ATRIOVENTRICULAR BLOCK COMPLETE,10,4.58643942551221,2.46519618539877,TRUE,TRUE,0,,,,insufficient (a=0)
BLINDNESS UNILATERAL,10,2.07841219353532,1.11752601720501,TRUE,TRUE,1,636,16.0640094766915,2.23981013206249,replicated
CRANIOCEREBRAL INJURY,10,7.90445192429823,4.24667565113862,TRUE,TRUE,0,,,,insufficient (a=0)
ELECTROENCEPHALOGRAM ABNORMAL,10,13.961572330144,7.4946210395869,TRUE,TRUE,0,,,,insufficient (a=0)
ELECTROLYTE IMBALANCE,10,2.42678766358957,1.30477876538316,TRUE,TRUE,0,,,,insufficient (a=0)
EYELID PTOSIS,10,2.81582528537649,1.51386627355376,TRUE,TRUE,0,,,,insufficient (a=0)
GALLBLADDER DISORDER,10,1.96133916572441,1.05459491323656,TRUE,FALSE,0,,,,insufficient (a=0)
HYPERCALCAEMIA,10,2.28231921067533,1.22712876783005,TRUE,TRUE,0,,,,insufficient (a=0)
HYPERTENSIVE CRISIS,10,2.4953661900179,1.34163778830608,TRUE,TRUE,0,,,,insufficient (a=0)
HYPOALBUMINAEMIA,10,3.82299328877094,2.05506258941961,TRUE,TRUE,0,,,,insufficient (a=0)
HYPOGAMMAGLOBULINAEMIA,10,3.87783327953936,2.08452625120098,TRUE,TRUE,0,,,,insufficient (a=0)
INCOHERENT,10,5.20806875270205,2.7990801513645,TRUE,TRUE,0,,,,insufficient (a=0)
INCORRECT PRODUCT DOSAGE FORM ADMINISTERED,10,58.0148815941443,30.9554068924595,TRUE,TRUE,0,,,,insufficient (a=0)
INTERVERTEBRAL DISC DEGENERATION,10,3.09687399653857,1.66490140227152,TRUE,TRUE,0,,,,insufficient (a=0)
LIP DRY,10,2.91915787079301,1.56939840023432,TRUE,TRUE,0,,,,insufficient (a=0)
LOWER RESPIRATORY TRACT CONGESTION,10,13.4351455933866,7.2125554539395,TRUE,TRUE,0,363,,,insufficient (a=0)
MIOSIS,10,3.60493779155269,1.93790438167647,TRUE,TRUE,0,,,,insufficient (a=0)
MULTI-ORGAN FAILURE,10,3.70372170584263,1.99098048717098,TRUE,TRUE,0,,,,insufficient (a=0)
MYOCLONUS,10,2.55186273702949,1.37200256466245,TRUE,TRUE,0,644,,,insufficient (a=0)
ORAL CANDIDIASIS,10,2.13541148159464,1.14816451787234,TRUE,TRUE,0,1047,,,insufficient (a=0)
PETECHIAE,10,2.84474970309578,1.52941074963764,TRUE,TRUE,0,,,,insufficient (a=0)
PHYSICAL DISABILITY,10,5.7958511194807,3.11473195050928,TRUE,TRUE,0,,,,insufficient (a=0)
POLYP,10,4.10785332266867,2.208103345947,TRUE,TRUE,0,,,,insufficient (a=0)
SPLENOMEGALY,10,2.43336990666981,1.30831656554691,TRUE,TRUE,0,,,,insufficient (a=0)
STATUS EPILEPTICUS,10,2.52202166918373,1.3559641681611,TRUE,TRUE,0,264,,,insufficient (a=0)
SUDDEN DEATH,10,3.4603781140311,1.86023058167779,TRUE,TRUE,0,,,,insufficient (a=0)
SUPRAVENTRICULAR EXTRASYSTOLES,10,10.6194728495567,5.70319176990887,TRUE,TRUE,0,,,,insufficient (a=0)
TENOSYNOVITIS,10,10.0941663156202,5.42146763202799,TRUE,TRUE,0,,,,insufficient (a=0)
TRIGGER FINGER,10,6.52365012976822,3.50550489403172,TRUE,TRUE,0,,,,insufficient (a=0)
TYPE 1 DIABETES MELLITUS,10,4.91815374726723,2.64337072105788,TRUE,TRUE,0,,,,insufficient (a=0)
WRONG PRODUCT ADMINISTERED,10,3.43022161825863,1.84402671306291,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE DISCHARGE,9,19.3517874190921,10.0369126722568,TRUE,TRUE,0,,,,insufficient (a=0)
